sweep,parameter,value,coh_mean,coh_min,coh_max,asym_mean,vort_mean,vel_var_mean,stress_xx_mean,stress_yy_mean,stress_xy_mean,n_samples
2,khra_amp,0.032,0.680961,0.678900,0.683600,32.083506,0.027114,0.002334,-0.000531,0.000527,-0.000197,501
2,khra_amp,0.032,0.681727,0.678900,0.685800,31.932072,0.027279,0.002354,-0.000528,0.000529,-0.000198,501
2,khra_amp,0.034,0.677817,0.675700,0.682200,32.745663,0.026590,0.002259,-0.000543,0.000532,-0.000204,501
2,khra_amp,0.034,0.679337,0.675700,0.686000,32.440108,0.026881,0.002298,-0.000540,0.000534,-0.000204,501
2,khra_amp,0.036,0.674522,0.672500,0.681300,33.454284,0.026137,0.002202,-0.000560,0.000544,-0.000210,501
2,khra_amp,0.036,0.676733,0.672700,0.685500,33.003576,0.026542,0.002257,-0.000553,0.000541,-0.000205,501
2,khra_amp,0.038,0.671854,0.669800,0.679300,34.044715,0.025721,0.002159,-0.000573,0.000554,-0.000208,501
2,khra_amp,0.038,0.674625,0.670200,0.685500,33.471349,0.026231,0.002230,-0.000564,0.000547,-0.000201,501
2,khra_amp,0.04,0.669330,0.667500,0.677700,34.613775,0.025318,0.002107,-0.000582,0.000561,-0.000213,501
2,khra_amp,0.04,0.672629,0.667700,0.685800,33.924342,0.025922,0.002190,-0.000573,0.000551,-0.000206,501
2,khra_amp,0.042,0.666927,0.665200,0.674000,35.167071,0.024922,0.002043,-0.000598,0.000564,-0.000220,501
2,khra_amp,0.042,0.670890,0.665500,0.686000,34.332013,0.025628,0.002140,-0.000584,0.000554,-0.000211,501
2,khra_amp,0.044,0.664276,0.662600,0.672400,35.787633,0.024587,0.001971,-0.000619,0.000567,-0.000233,501
2,khra_amp,0.044,0.668928,0.662800,0.686200,34.797657,0.025358,0.002082,-0.000596,0.000556,-0.000221,501
2,khra_amp,0.046,0.661603,0.659800,0.670900,36.425873,0.024311,0.001908,-0.000638,0.000570,-0.000244,501
2,khra_amp,0.046,0.666946,0.660200,0.686000,35.276966,0.025139,0.002032,-0.000606,0.000560,-0.000228,501
2,khra_amp,0.048,0.659230,0.657000,0.670100,37.004386,0.023990,0.001853,-0.000653,0.000574,-0.000253,501
2,khra_amp,0.048,0.665150,0.657700,0.685800,35.719745,0.024887,0.001989,-0.000614,0.000563,-0.000235,501
2,khra_amp,0.05,0.656974,0.654200,0.670000,37.564798,0.023731,0.001806,-0.000661,0.000581,-0.000259,501
2,khra_amp,0.05,0.663405,0.655300,0.685900,36.155973,0.024690,0.001954,-0.000621,0.000566,-0.000239,501
2,khra_amp,0.052,0.654848,0.652000,0.669500,38.102755,0.023506,0.001782,-0.000664,0.000586,-0.000260,501
2,khra_amp,0.052,0.661694,0.653200,0.685600,36.587732,0.024526,0.001938,-0.000628,0.000572,-0.000239,501
2,khra_amp,0.054,0.653080,0.650700,0.668800,38.557133,0.023294,0.001767,-0.000664,0.000591,-0.000257,501
2,khra_amp,0.054,0.660259,0.651500,0.685100,36.955112,0.024366,0.001930,-0.000635,0.000578,-0.000236,501
2,khra_amp,0.056,0.651153,0.649500,0.666800,39.060127,0.022985,0.001726,-0.000671,0.000592,-0.000261,501
2,khra_amp,0.056,0.658797,0.649600,0.684900,37.341204,0.024134,0.001899,-0.000638,0.000580,-0.000238,501
2,khra_amp,0.058,0.649289,0.647600,0.665300,39.556802,0.022692,0.001686,-0.000678,0.000593,-0.000263,501
